date,app,platform,network,cdn,geography,stream_type,vst_p50,vst_p95,rebuffer_ratio,rebuffer_rate,vsf,ebvs,avg_rendered_bitrate,downshift_frequency,total_watch_time,avg_session_duration,dau,wau,mau,content_completion_25,content_completion_50,content_completion_75,content_completion_100,browse_to_play,ad_fill_rate,ad_start_failure,vcr_ads,ad_pod_dropoff,churn_rate,arpu,cdn_cache_hit_ratio,manifest_fetch_latency,ttfb,volume
2020-10-08,App_A,WebOS,Comcast Xfinity,Fastly,Metro,VOD Series,1.61,4.41,2.21,0.93,1.75,2.84,4,2.11,3459,18.3,6305,30578,66199,82.6,60.7,46.8,29.3,53.3,80,1.5,67.7,10.4,4.98,2.56,89.1,238,189,8165
2020-10-08,App_B,Android,AT&T,AWS CloudFront,Region,VOD Series,2.09,4.94,2.42,0.79,1.8,3.1,3.61,2.27,3137,17.4,5642,27312,58703,80.1,64.4,43,27,48.6,79.5,1.78,63.3,10.4,5.9,2.49,87.6,267,221,8554
2020-10-09,App_A,Desktop Web,Cellular 5G,Fastly,Region,VOD Series,1.75,3.66,1.88,0.88,1.36,2.66,3.66,2.46,3839,17.3,6128,29372,64133,79.4,61.3,45.8,29.8,52.2,83.4,1.76,66.3,9.6,4.89,2.81,87.7,236,156,10470
2020-10-09,App_B,iOS,Comcast Xfinity,Fastly,Country,Live Sports/Events,2.13,4.92,2.74,0.84,1.47,2.44,3.44,2.3,2761,16.9,5106,24754,52520,79.2,64.5,44.9,29.3,48.7,83.5,2.22,61.5,11.2,5.61,2.57,89,237,202,7390
2020-10-10,App_A,iOS,Cellular 4G,Akamai,Country,VOD Movies,1.71,3.66,2.23,0.76,1.8,2.66,3.98,1.87,3052,19.1,6022,29067,63161,77.6,61.3,43.8,32.4,50.6,82.4,1.96,67.9,9,5.81,2.78,86.5,216,165,9085
2020-10-10,App_B,Tizen,Jio,Akamai,Region,VOD Movies,1.86,5.1,2.42,0.8,1.6,2.28,3.99,2.31,3212,19.5,5063,24377,54481,81.5,59.7,43.4,28.6,50.5,79.7,1.86,64,12,5.42,2.59,86.8,304,193,8017
2020-10-11,App_A,WebOS,Jio,Cloudflare,Country,FAST linear,1.97,4.27,2.55,0.73,1.71,2.03,3.86,2.36,3217,17.3,6402,30715,74369,82.6,61.3,45,31.9,49.9,83.6,1.81,66.6,9.5,5.8,2.68,89.8,259,175,10801
2020-10-11,App_B,FireTV,Wi-Fi,Cloudflare,Metro,Live Sports/Events,2.18,4.73,2.63,1.12,1.65,2.67,4.14,2.52,3357,19.5,5611,26981,65667,80.8,62.8,46.1,26.9,50,82.7,1.88,63,11.8,5.83,2.63,88.5,240,220,8368
2020-10-12,App_A,Android TV,AT&T,Fastly,Metro,FAST linear,1.99,3.89,2.52,0.96,1.73,2.75,4.02,2.42,3935,18.5,5844,28263,63495,80.1,64.1,45.4,29.7,53.5,83,1.86,66.7,10.1,5.11,2.44,89.4,215,198,9777
2020-10-12,App_B,Android,Jio,Akamai,Metro,FAST linear,1.82,4.04,2.49,0.93,1.42,2.31,3.54,2.5,2763,18.8,5485,26263,60526,78.1,64.9,42.8,27.3,49.8,83.5,2.29,61.5,11.4,5.67,2.18,86.8,239,191,8341
2020-10-13,App_A,Apple TV,Verizon,AWS CloudFront,Metro,VOD Movies,1.67,3.97,2.09,0.84,1.77,2.17,3.69,2.55,3368,18.1,5912,28489,73452,83.3,60.5,44.4,30.2,50.8,82.5,1.53,64.5,9,5.82,2.48,88.1,246,158,10085
2020-10-13,App_B,Apple TV,Wi-Fi,AWS CloudFront,Region,Live Sports/Events,2,4.97,2.19,0.79,1.58,2.71,4.19,2.73,3427,16.6,5092,24370,51012,79.6,63.4,46.4,26.5,51.5,81.5,2.32,63.8,12,6.29,2.54,88.8,261,206,8524
2020-10-14,App_A,Desktop Web,Airtel,Fastly,Country,VOD Series,1.82,3.98,2.19,0.99,1.7,2.74,3.6,2.58,2989,18,6413,30543,72669,81.3,60,47.8,29.9,54.3,79.9,1.53,64.1,11,5.14,2.37,88.3,246,203,11269
2020-10-14,App_B,Desktop Web,Broadband,Akamai,Metro,Live Sports/Events,1.8,4.88,2.74,1.16,1.75,2.85,3.82,2.67,2885,17.8,5339,25631,62511,83.2,62.8,45.6,29.6,51.4,84.6,1.59,64.1,11.9,5.96,2.17,88.2,322,232,8255
2020-10-15,App_A,FireTV,Cellular 4G,Cloudflare,Metro,Live Sports/Events,1.67,4.5,2.23,1.04,1.7,2.17,4.08,2.57,3242,18.7,5742,27732,61829,82.1,62.7,47.9,30.4,54.5,84.2,1.54,68.4,10.1,4.92,2.71,89.4,244,189,8200
2020-10-15,App_B,WebOS,Broadband,Akamai,Metro,FAST linear,2.23,4.58,2.24,1.13,1.72,2.63,3.62,2.79,3064,17.2,5742,27313,62195,79.8,63.4,47.5,27.1,50.3,80.2,2.04,62.2,10.4,6.03,2.21,88.6,252,184,8158
2020-10-16,App_A,WebOS,Comcast Xfinity,Akamai,Region,FAST linear,1.69,4.71,2.44,1.05,1.33,2.01,4.47,1.78,3296,19.4,6404,30907,75081,77.5,62.9,45.8,28.5,50.7,85.1,1.75,66,9.8,6.07,2.77,88,241,155,9431
2020-10-16,App_B,FireTV,Airtel,Fastly,Country,Live Sports/Events,1.98,4.36,2.22,0.97,1.43,2.11,3.49,1.91,3244,17.2,5505,26483,66575,77.5,59.6,44.7,29.7,50.5,83.8,1.67,63.8,10.5,6.25,2.28,87.6,330,176,9825
2020-10-17,App_A,iOS,T-Mobile,Fastly,Metro,FAST linear,1.71,4.79,2.44,1.07,1.57,2.43,3.85,2.48,3435,17.5,6419,30693,65493,77.9,63.8,42.6,29.4,50.1,80.5,1.57,67.9,8.5,5.19,2.77,88.3,237,183,11538
2020-10-17,App_B,Tizen,T-Mobile,Fastly,Country,VOD Movies,2.15,4.75,2.84,1.1,1.95,2.26,3.88,2.48,3003,16.9,5712,27432,69425,77.1,62.4,43.5,28.5,49.6,81.5,1.86,60.5,12,5.39,2.41,87.5,309,208,10273
2020-10-18,App_A,WebOS,AT&T,Cloudflare,Region,VOD Series,1.63,3.61,1.93,1.06,1.82,2.6,4.23,2.28,3046,17.8,6191,29559,78983,77.4,63.6,43.4,28.5,53.4,80.6,1.91,65.5,9.1,5.18,2.8,88.5,300,197,9370
2020-10-18,App_B,iOS,Wi-Fi,Fastly,Region,FAST linear,1.85,4.1,2.54,0.97,1.46,2.51,3.84,2.82,2738,19.1,4991,24169,54977,77.8,60.8,47.4,29.9,48.4,83.6,1.9,64.3,9.4,6.46,2.52,87.4,263,220,6143
2020-10-19,App_A,iOS,Verizon,Akamai,Country,VOD Movies,1.85,4.62,1.84,1.03,1.51,2.1,4.1,2.44,3613,17.2,5918,28179,73884,82.9,65.4,47.1,31.3,52.3,83.4,1.65,66.7,9.6,5.06,2.68,88.2,234,217,10024
2020-10-19,App_B,FireTV,AT&T,Fastly,Country,VOD Movies,2.03,4.98,2.68,1.17,1.53,2.35,3.83,2.4,2633,17.8,4943,23632,63215,80.1,65.3,45.5,28,47.1,85,2.17,62.3,9.3,5.7,2.3,89.9,260,219,7036
2020-10-20,App_A,Desktop Web,Jio,AWS CloudFront,Country,VOD Series,1.92,4.63,2.34,0.9,1.72,2.47,4.46,2.31,3453,19.8,6186,29693,75392,78.1,60.7,43.7,31,49.4,81.1,1.86,65.9,10,5.37,2.44,89.4,222,212,8910
2020-10-20,App_B,Apple TV,Jio,Akamai,Metro,FAST linear,2.21,4.71,2.83,1.11,2.05,2.46,3.47,2.76,3370,16.5,5302,25320,61281,80.8,60.6,46.3,29.3,48.8,84.4,1.86,62.2,10.3,6.33,2.62,86.6,287,188,8290
2020-10-21,App_A,WebOS,Broadband,Cloudflare,Region,VOD Series,1.62,4.73,1.77,0.74,1.47,2.66,3.6,2.23,3157,17.3,6029,28731,76856,79.7,62.1,47.7,28.4,52.6,80.3,1.67,69.2,9.5,6.03,2.43,87.1,230,209,7568
2020-10-21,App_B,FireTV,Wi-Fi,Akamai,Country,VOD Movies,2.06,4.21,2.3,0.98,1.69,2.96,4.21,2.78,2627,16.2,5138,24759,51992,82.5,60.4,45.6,29.9,50.4,81.7,1.7,62.4,9.8,6.67,2.62,87.5,301,220,6872
