date,app,platform,network,cdn,geography,stream_type,vst_p50_s,vst_p95_s,rebuffer_ratio_pct,rebuffer_rate,vsf_pct,ebvs_pct,avg_rendered_bitrate_mbps,downshift_frequency,total_watch_time_hours,avg_session_duration_min,dau,wau,mau,content_completion_25_pct,content_completion_50_pct,content_completion_75_pct,content_completion_100_pct,browse_to_play_pct,ad_fill_rate_pct,ad_start_failure_pct,vcr_ads_pct,ad_pod_dropoff_pct,churn_rate_pct,arpu_usd,cdn_cache_hit_ratio_pct,manifest_fetch_latency_ms,ttfb_ms,volume_weight
2026-08-18,App_B,Android TV,Airtel,Fastly,Country,Live Sports/Events,2.08,4.11,0.16,0.96,1.73,2.05,5.32,2.96,2074,23.5,3150,9990,99994,73.5,80,61.2,52.6,64.5,87.6,0.25,62.9,3.9,2.36,2.64,93.8,154,99,3802
2026-08-19,App_A,WebOS,Cellular 5G,Fastly,Region,VOD Series,0.98,3.28,0.32,1.33,0.53,2.63,3.09,0.23,5418,39.3,4944,15524,119634,91.9,87,70.7,42.7,76.3,94.1,2,83.6,2.5,3.77,3.5,94.7,61,138,1543
2026-08-19,App_B,FireTV,Wi-Fi,Akamai,Country,FAST linear,2.51,4.89,1.09,0.76,0.86,2.16,6.21,3.07,4916,28.5,3317,19243,87439,71.3,80.1,46.7,54.1,78.3,91.9,0.37,80.2,12.1,1.97,4.96,95.1,202,105,2409
2026-08-20,App_A,Apple TV,Cellular 5G,Cloudflare,Metro,VOD Series,0.8,3.7,1.62,1.03,1.28,1.7,7.35,2.02,836,39.1,6716,20526,66816,95.6,75.9,54,45,42.1,83.9,1.05,84.7,6.7,1.62,5.32,88.1,185,204,4257
2026-08-20,App_B,Android TV,Wi-Fi,Cloudflare,Metro,VOD Series,1.6,3.48,1.35,1.04,1.62,2.08,6.04,1.53,924,51.6,4453,14443,115085,86,61.7,52,48.6,62.2,90.8,1,72.9,10.9,4.49,6.33,92.9,204,188,1441
2026-08-21,App_A,iOS,Verizon,Cloudflare,Region,Live Sports/Events,0.88,1.51,2.8,0.53,0.16,2.62,6.83,2.49,5527,29.7,2807,23170,111302,86.4,78.3,53.3,30.4,74.3,88.6,1.65,80,4.5,1.99,2.5,90.6,257,103,4337
2026-08-21,App_B,Apple TV,Cellular 4G,Fastly,Region,VOD Series,1.57,1.82,1.25,0.15,0.39,2.09,8.28,2.36,2069,40.1,2581,23143,107032,78,81,61.8,27.2,59,84.3,0.77,65.6,5.9,4.51,7.17,91.2,309,222,4512
2026-08-22,App_A,WebOS,Comcast Xfinity,Cloudflare,Region,Live Sports/Events,2.25,3.29,2.37,0.58,0.43,0.81,5.63,2.19,2115,42.5,8168,10298,84177,83,81.7,67.8,41.6,43.4,87.7,0.66,73.3,8.5,5.83,5.18,92.1,119,121,2115
2026-08-22,App_B,WebOS,Verizon,Fastly,Region,Live Sports/Events,1.4,2.11,2.77,1.48,0.26,2.01,7.92,2.92,2081,50.9,7675,26565,59462,72.7,64.1,70.9,32,43.3,90,0.55,67.9,11.7,4.04,6.51,91.9,48,136,1414
2026-08-23,App_A,Apple TV,Broadband,Fastly,Country,Live Sports/Events,0.52,1.73,0.33,0.23,0.9,2.42,3.76,2.05,615,37.6,8422,29919,86252,70.2,63,53.2,53.4,67.8,94.3,0.87,69.7,2.5,3.93,5.3,91.2,279,64,1464
2026-08-23,App_B,Desktop Web,Cellular 4G,AWS CloudFront,Region,FAST linear,1.68,3.53,2.11,0.17,1.94,2.65,4.74,2.04,520,33.2,3677,31951,30674,87.6,87,48.5,37.8,64.3,81.3,2.47,66.3,9.7,4.68,6.51,98.4,90,115,2655
2026-08-24,App_A,Tizen,Cellular 5G,AWS CloudFront,Metro,Live Sports/Events,1.43,2.26,1.42,0.1,1.75,2.8,7.03,0.83,5080,17.3,3316,23338,111699,91.6,82.5,52.6,48.4,47.5,80.8,0.33,61.1,9.8,2.2,5.01,89.9,46,37,3701
2026-08-24,App_B,Apple TV,Cellular 5G,Cloudflare,Region,Live Sports/Events,2.18,2.06,0.15,1.04,0.13,2.24,4.95,0.28,5699,11.6,5354,13846,32876,96.2,83.6,61.6,40.9,56.5,88.4,1.26,74.2,2.2,2.35,4.57,91.9,74,72,2051
2026-08-25,App_A,WebOS,Airtel,Fastly,Country,VOD Movies,2.18,1.66,2.54,1.47,0.57,2.57,4.79,2.35,1256,11.4,7348,33134,78858,95.1,82.5,53.9,30.8,46.2,97.7,2.16,81.8,2.9,5.93,4.06,91,299,214,3727
2026-08-25,App_B,Android TV,Wi-Fi,AWS CloudFront,Country,Live Sports/Events,2.53,1.95,1.77,0.3,1.03,1.7,4.6,2.16,1099,41.2,4304,24383,67353,72.6,75.9,52.9,42.3,55.8,82,1.22,67.1,8.7,6.17,3.02,89.7,227,128,4947
2026-08-26,App_A,Tizen,Broadband,Cloudflare,Region,FAST linear,2.38,2.12,1.3,1.34,1.49,0.65,7.94,0.31,1114,37.6,6862,18775,68763,75.4,88,45.4,49,67.6,96.4,1.04,74.6,2,4.77,3.31,96.6,50,163,3379
2026-08-26,App_B,Android,Verizon,Fastly,Metro,Live Sports/Events,2.39,4.2,2.4,0.62,1.08,2.38,3.09,0.51,4334,44.2,6347,26595,89993,84.1,70.1,51,52.2,71.1,94.6,2.1,67.5,10.5,5.12,6.54,92.8,107,75,4528
2026-08-27,App_A,Desktop Web,Airtel,Fastly,Region,FAST linear,1.76,4.37,1.17,1.3,0.23,1.24,8.67,2.22,2471,44.3,5377,15788,31504,78.8,58,54.2,33,50.2,93.7,2.08,84.4,9.8,1.99,4.8,98.8,125,117,536
2026-08-27,App_B,Desktop Web,Cellular 4G,Akamai,Metro,VOD Series,2.44,5.28,2.6,1.13,1.54,1.94,5.25,1.84,2958,38.1,3851,23389,90206,85.9,68.4,49.2,50.9,55,97.1,2.15,79.8,9.6,3.15,2.02,88.2,90,87,1580
2026-08-28,App_A,Apple TV,Airtel,Akamai,Metro,VOD Movies,1.39,2.37,1.18,1.38,0.61,2.04,6.21,1.05,4897,27.2,8892,9162,98478,79.9,76.6,42.5,43.9,55.6,84.9,0.72,65.2,9.6,2.76,5.09,98.5,128,211,1877
2026-08-28,App_B,Tizen,Comcast Xfinity,Cloudflare,Region,Live Sports/Events,0.65,2.12,0.5,0.65,1.85,1.06,5.44,2.81,2279,14.9,2022,32956,57677,97.5,83.7,50.1,49.2,46.4,94,1.26,69.2,5.4,5.14,2.74,89.1,109,42,865
2026-08-29,App_A,Android,Cellular 5G,Cloudflare,Metro,VOD Series,2.26,2.82,0.5,1.02,0.31,2.69,4.88,0.81,4686,26.1,2313,28474,110485,71.1,74.2,48.4,41.5,55.5,97.1,1.26,77.7,2.1,3.55,6.79,98.4,60,63,887
2026-08-29,App_B,Desktop Web,Airtel,Akamai,Country,Live Sports/Events,0.49,2.16,2.24,1.04,1.9,2.55,3.07,2.63,5940,29,7347,27627,115513,88.5,59,49.3,33.6,75,88.4,0.61,84.8,8.8,3.76,3.74,93.1,268,163,3327
2026-08-30,App_A,Desktop Web,Wi-Fi,AWS CloudFront,Region,VOD Movies,2.14,4.88,2.26,1.43,0.76,1.62,4.97,0.16,5650,45.1,2456,27124,45576,86.9,86.9,69.6,39.5,45.2,88.5,0.85,61.8,9.5,2.39,3.3,89.7,245,186,750
2026-08-30,App_B,FireTV,Broadband,Cloudflare,Country,VOD Movies,2.57,4.52,0.53,1.16,1.04,1.79,7.59,0.67,1104,22.3,8676,17706,30786,73.8,75.2,63.2,35.3,44.2,80,2.44,80.9,7.7,1.52,4.38,91.9,51,207,344
2026-08-31,App_A,Android,Airtel,Fastly,Country,FAST linear,1.93,4.4,1.98,1.4,0.48,2.16,7.39,1.72,5684,33.9,8525,16656,117354,93.2,86.7,43.2,32.6,59.8,87.3,1.07,75.1,9,2.75,2.68,97,124,215,3161
2026-08-31,App_B,iOS,Cellular 4G,Fastly,Region,VOD Series,1.61,2.58,3.02,0.59,0.17,2.31,7.33,1.84,1285,15.2,4157,27805,33701,82.5,84.2,44.3,50.8,64.8,80.3,1.98,83.4,8,4.75,4.04,88.5,304,129,1927
2026-09-01,App_A,iOS,Jio,Akamai,Region,Live Sports/Events,2.26,4.51,0.24,1.48,1.5,0.57,5.2,0.22,3185,42.3,6287,13294,77641,79.6,57.4,45.1,39.7,75.6,84.5,1.67,68.6,9.3,5.29,4.54,94.1,183,89,1098
2026-09-01,App_B,iOS,Jio,AWS CloudFront,Region,VOD Movies,1.51,1.54,1.91,0.95,0.94,0.55,4.61,1.56,2125,23.6,7410,33197,115165,75.5,65,63.8,31.2,55.2,97.8,1.65,77.9,12.5,5.23,5.47,90.9,296,205,285
2026-09-02,App_A,Tizen,Airtel,Fastly,Metro,FAST linear,1.51,2.47,1.74,1.41,1.84,2.54,4.22,2.03,4109,48.4,3915,21174,77394,86.3,71.8,63.5,49.8,42,82.2,1.93,84.1,7.4,3.89,5.09,89.9,102,57,1777
2026-09-02,App_B,Tizen,Jio,Akamai,Country,FAST linear,1.46,3.23,1.9,0.4,1.08,2.92,7.36,1.44,1062,22.6,4855,32167,107298,77.5,84,69.6,49.4,40.7,89.6,1.01,81.7,2.9,5.29,3.84,93.5,311,184,3904
2026-09-03,App_A,Android,Comcast Xfinity,AWS CloudFront,Country,FAST linear,1.03,3.17,1.68,0.07,1.47,1.45,5.83,0.76,4302,33.9,4625,22188,39220,73.4,79.2,55.3,40.4,56.5,89.5,0.96,85.3,9.3,1.86,5.54,92.7,103,50,1840
2026-09-03,App_B,WebOS,Wi-Fi,AWS CloudFront,Metro,Live Sports/Events,0.9,3.73,0.63,0.74,2.11,2.88,6.54,1,1947,19.5,4862,23875,114846,70.7,75.9,69.1,43.8,41.7,83.5,0.37,71.4,11.1,4.86,2.7,96.4,135,140,1239
2026-09-04,App_A,Apple TV,Airtel,Fastly,Region,FAST linear,0.57,4.51,0.59,0.43,0.15,2.18,6.9,1.41,2334,37.5,3136,21474,89132,81.1,84.5,62.6,28.6,71.6,95.7,2.41,60.1,3.3,3.43,5.88,94.8,270,199,3375
2026-09-04,App_B,iOS,Verizon,Akamai,Country,Live Sports/Events,1.2,4.27,1.88,1.14,0.54,2.71,7.78,0.68,3518,35.2,6459,18603,85174,73.6,74.7,40.4,43.7,70.7,87.7,2.05,68.3,5.2,1.95,4.99,90,186,76,1465
